1, OptIX-LA, Not an exchange, IPv4, Unicast, Unknown, 200.61.194.0/24, 0
2, NAP CABASE Buenos Aires, Active, IPv4, Unicast, None, 200.0.17.0/24, 71
3, SAIX SE, Deprecated, IPv4, , Unknown, 203.34.35.0/24, 0
3, SAIX SE, Defunct, IPv4, , Unknown, 198.32.240.0/24, 23
4, AusBONE-BIX, Defunct, IPv4, , Unknown, 198.32.230.0/24, 0
4, AusBONE-BIX, Defunct, IPv4, , Unknown, 198.32.231.0/24, 0
5, AusBONE-MEL, Defunct, IPv4, , Unknown, 198.32.234.0/24, 0
6, AUSIX, Active, IPv4, , Unknown, 218.100.1.0/24, 7
7, , Defunct, IPv4, , Unknown, , 5
8, VIC-IX, Active, IPv4, Unicast, Unknown, 218.100.78.0/24, 49
9, WAIX, Active, IPv4, Unicast, Available, 198.32.212.0/24, 82
10, AusBONE-SYD, Defunct, IPv4, , Unknown, 198.32.232.0/24, 0
12, Equinix Sydney, Active, IPv4, Unicast, Available, 202.167.228.0/24, 85
13, PIPE Brisbane, Active, IPv4, Unicast, Available, 218.100.0.0/24, 36
14, GraX, Active, IPv4, Unicast, Unknown, 193.105.214.0/24, 16
15, VIX, Active, IPv4, Unicast, Unknown, 193.203.0.0/24, 124
15, VIX, Unknown, IPv4, Multicast, Unknown, , 3
16, BDIX, Active, IPv4, Unicast, Available, 198.32.167.0/24, 31
17, BNIX, Unknown, IPv4, , Unknown, 194.53.172.0/25, 0
17, BNIX, Active, IPv4, Unicast, Unknown, 194.53.172.0/24, 57
18, FreeBIX, Defunct, IPv4, , Unknown, 195.85.203.0/24, 22
19, PTT Belo Horizonte, Active, IPv4, Unicast, Unknown, , 39
20, PTT Brasília, Active, IPv4, Unicast, Unknown, , 35
21, PRIX, Active, IPv4, Unicast, Unknown, 200.219.140.0/24, 71
22, PTT Florianópolis, Active, IPv4, Unicast, Unknown, , 35
23, RSIX, Deprecated, IPv4, , None, 200.219.143.0/24, 19
24, OptIX-LA, Defunct, IPv4, , Unknown, 200.185.100.0/24, 0
28, Tivit, Defunct, IPv4, , Unknown, 200.185.4.0/24, 39
29, NAP do Brasil, Active, IPv4, Unicast, None, 200.136.34.0/24, 37
30, PTTMetro São Paulo, Active, IPv4, Unicast, Available, 187.16.216.0/22, 817
31, Telcomp, Defunct, IPv4, , Unknown, , 5
34, Finder-IX, Defunct, IPv4, Unicast, Unknown, , 4
35, EIX, Defunct, IPv4, , Unknown, 198.32.156.0/24, 7
36, QIX/RISQ, Not an exchange, IPv4, , Unknown, , 11
37, OttIX, Active, IPv4, Unicast, Unknown, 198.32.235.0/24, 14
38, CANIX, Defunct, IPv4, , Unknown, 198.133.49.0/24, 0
39, TORIX, Active, IPv4, Unicast, Unknown, 206.108.34.0/23, 197
40, BCIX, Not an exchange, IPv4, Unicast, Unknown, , 0
41, NAP Chile, Active, IPv4, Unicast, Unknown, 192.168.173.0/24, 13
43, BIX, Active, IPv4, Unicast, Unknown, , 11
46, APIX, Not an exchange, IPv4, Unicast, Unknown, , 0
49, NAP-Colombia, Active, IPv4, Unicast, Unknown, 206.223.124.0/24, 19
51, CIX, Active, IPv4, Unicast, Unknown, 193.192.15.64/26, 29
51, CIX, Deprecated, IPv4, Unicast, Unknown, , 0
52, NAP de Cuba, Active, IPv4, Unicast, Unknown, 200.0.16.0/24, 5
53, CyIX, Active, IPv4, Unicast, Unknown, , 3
55, NIX, Active, IPv4, Unicast, Unknown, 194.50.100.0/24, 80
56, DIX, Active, IPv4, Unicast, Unknown, 192.38.7.0/24, 45
57, NAP AEPROVI Guayaquil, Active, IPv4, Unicast, Mandatory, , 34
58, NAP AEPROVI Quito, Active, IPv4, Unicast, Mandatory, , 28
59, CAIX, Active, IPv4, Unicast, None, 81.21.96.0/24, 7
60, CR-IX, Defunct, IPv4, Unicast, Unknown, 195.234.168.0/24, 3
61, XPE-LoNAP, Defunct, IPv4, Unicast, Unknown, , 56
62, LINX, Deprecated, IPv4, Unicast, Unknown, 195.66.230.0/24, 0
62, LINX, Active, IPv4, Unicast, Unknown, 195.66.224.0/22, 698
62, LINX, Active, IPv4, Unicast, Unknown, 195.66.236.0/22, 0
63, LIPEX, Defunct, IPv4, Unicast, Unknown, 193.109.219.0/24, 46
64, LoNAP, Active, IPv4, Unicast, Unknown, 5.57.80.0/22, 172
66, XP-London IXP, Active, IPv4, Unicast, Unknown, 217.79.160.0/23, 166
67, MaNAP, Unknown, IPv4, Unicast, Unknown, 212.121.34.0/24, 56
68, TIX, Active, IPv4, Unicast, Unknown, 212.47.215.0/24, 13
69, FICIX2, Active, IPv4, Unicast, Unknown, 193.110.224.0/24, 25
69, FICIX2, Deprecated, IPv4, Unicast, Unknown, 193.110.224.0/24, 0
69, FICIX2, Deprecated, IPv4, , Unknown, , 0
70, TREX, Active, IPv4, Unicast, Unknown, 195.140.192.0/24, 15
71, LyonIX, Active, IPv4, Unicast, Unknown, 77.95.71.0/24, 93
72, Free-IX, Defunct, IPv4, Unicast, Unknown, 213.228.3.0/24, 106
73, MAE-Paris, Unknown, IPv4, Unicast, Unknown, 198.32.148.0/24, 18
74, MIXT, Active, IPv4, Unicast, Unknown, , 7
75, PIX, Deprecated, IPv4, , Unknown, 194.68.129.0/24, 0
76, PIES, Unknown, IPv4, , Unknown, , 0
77, PARIX, Not an exchange, IPv4, Unicast, Unknown, 198.32.247.0/24, 0
77, PARIX, Not an exchange, IPv4, Unicast, Unknown, 198.32.246.0/24, 46
78, SFINX, Active, IPv4, Unicast, Unknown, 194.68.129.0/24, 95
79, PaNAP, Defunct, IPv4, Unicast, Unknown, 62.35.254.0/24, 153
80, BCIX, Unknown, IPv4, , Unknown, , 0
80, BCIX, Active, IPv4, Unicast, Unknown, 193.178.185.0/24, 80
81, BLNX/ECIX BER, Active, IPv4, Unicast, Available, 194.9.117.0/24, 155
82, ECIX DUS, Active, IPv4, Unicast, Unknown, 194.146.118.0/24, 97
83, DE-CIX, Defunct, IPv4, , Unknown, 194.31.232.0/24, 0
83, DE-CIX, Active, IPv4, Unicast, Unknown, 80.81.192.0/22, 663
83, DE-CIX, Active, IPv4, Multicast, Unknown, 80.81.200.0/24, 0
84, MAE-Frankfurt, Unknown, IPv4, Unicast, Unknown, 192.67.199.0/24, 0
86, INXS-HH, Active, IPv4, Unicast, Unknown, 62.208.162.0/24, 40
87, XP-Hamburg IXP, Active, IPv4, Unicast, Unknown, , 2
88, DE-CIX Hamburg, Active, IPv4, , Unknown, 213.238.34.0/24, 0
88, DE-CIX Hamburg, Active, IPv4, Unicast, Unknown, 80.81.203.0/24, 38
89, INXS, Deprecated, IPv4, Multicast, Unknown, 194.112.112.0/24, 7
89, INXS, Active, IPv4, Unicast, Unknown, 194.59.190.0/24, 40
90, MCIX, Defunct, IPv4, , Unknown, , 0
91, NDIX, Planned, IPv4, Unicast, Unknown, , 0
92, N-IX, Active, IPv4, Unicast, Unknown, 195.85.217.0/24, 43
93, GIX, Active, IPv4, Unicast, Unknown, , 17
94, GR-IX, Active, IPv4, Unicast, None, 195.130.89.0/24, 25
94, GR-IX, Deprecated, IPv4, Multicast, Unknown, , 0
96, HKIX, Active, IPv4, Unicast, Available, 202.40.160.0/23, 234
97, (3) Exchange, Defunct, IPv4, Unicast, Unknown, , 0
99, BIX, Active, IPv4, Unicast, None, 193.188.137.0/24, 52
100, RIX, Active, IPv4, Unicast, Unknown, 193.4.59.0/24, 24
103, NIXI Mumbai, Active, IPv4, Unicast, Unknown, 180.179.222.68, 50
104, NIXI Delhi, Active, IPv4, Unicast, Mandatory, 180.179.222.68, 24
105, NIXI Chennai, Active, IPv4, Unicast, Unknown, 180.179.222.68, 41
105, NIXI Chennai, Deprecated, IPv4, Unicast, Unknown, , 9
106, NIXI Kolkotta, Active, IPv4, Unicast, Unknown, 180.179.222.68, 10
109, IndonesiaEP, Unknown, IPv4, , Unknown, 198.32.202.0/24, 0
109, IndonesiaEP, Unknown, IPv4, , Unknown, 198.32.203.0/24, 0
109, IndonesiaEP, Unknown, IPv4, , Unknown, 198.32.204.0/24, 0
109, IndonesiaEP, Unknown, IPv4, , Unknown, 198.32.205.0/24, 0
110, IIX, Active, IPv4, Unicast, Unknown, 103.28.74.0/23, 99
112, NAPSINDO-IIX, Defunct, IPv4, , Unknown, , 0
113, IIX, Defunct, IPv4, Unicast, Unknown, , 0
114, IIX, Active, IPv4, Unicast, Unknown, 218.100.4.0/24, 0
116, INEX, Deprecated, IPv4, , Unknown, 193.1.208.192/26, 0
116, INEX, Active, IPv4, Unicast, Available, 193.242.111.0/25, 106
116, INEX, Active, IPv4, Unicast, Unknown, 194.88.240.0/25, 0
117, IIX, Active, IPv4, Unicast, Mandatory, 192.114.62.0/24, 16
118, MIX, Planned, IPv4, Multicast, Unknown, , 0
118, MIX, Active, IPv4, Unicast, Unknown, 217.29.66.0/24, 109
120, NaMeX, Active, IPv4, Unicast, Unknown, 193.201.40.0/24, 53
121, TOP-ix, Active, IPv4, Unicast, Unknown, 194.116.96.0/24, 85
122, , Unknown, IPv4, Unicast, Unknown, , 0
123, JPIX Nagoya, Active, IPv4, Unicast, Unknown, , 11
123, JPIX Nagoya, Active, IPv4, Unicast, Unknown, , 0
124, JPIX Nihonbashi, Active, IPv4, Unicast, Unknown, , 0
125, JPIX OSAKA, Active, IPv4, Unicast, Unknown, , 11
126, JPNAP Osaka, Active, IPv4, Unicast, Unknown, , 37
127, NSPIXP-2, Deprecated, IPv4, , Unknown, 202.249.2.0/24, 0
128, NSPIXP-3, Active, IPv4, , Unknown, , 23
129, JPIX, Active, IPv4, Unicast, Unknown, 210.171.224.0/24, 135
130, JPNAP, Active, IPv4, Unicast, Unknown, , 101
133, NSPIXP-1, Defunct, IPv4, Unicast, Unknown, , 0
134, DIX-IE, Active, IPv4, Unicast, Unknown, 202.249.2.0/24, 85
137, BBIX, Unknown, IPv4, Unicast, Unknown, , 0
137, BBIX, Active, IPv4, Unicast, Unknown, 218.100.6.0/24, 0
138, BBIX, Active, IPv4, Unicast, Unknown, , 0
139, BBIX, Active, IPv4, Unicast, Unknown, , 0
140, BBIX, Defunct, IPv4, Unicast, Unknown, , 0
141, BBIX Fukuoka, Active, IPv4, Unicast, Unknown, 218.100.6.0/24, 0
142, Equinix Tokyo, Active, IPv4, Unicast, Unknown, 203.190.230.0/25, 0
143, KIXP, Active, IPv4, Unicast, Available, 196.223.21.0/24, 30
145, LGDACOM IX, Active, IPv4, Unicast, Unknown, 198.32.209.0/24, 52
146, KIDC, Unknown, IPv4, Unicast, Unknown, 198.32.209.0/24, 200
147, KINX, Active, IPv4, Unicast, Unknown, 192.145.251.0/24, 46
148, KIX, Unknown, IPv4, Unicast, Unknown, , 15
149, KT-IX, Not an exchange, IPv4, Unicast, Unknown, , 45
151, LIX, Not an exchange, IPv4, Unicast, Mandatory, , 18
152, LIX, Defunct, IPv4, Unicast, Unknown, 193.168.127.0/24, 12
154, KLIX, Not an exchange, IPv4, Unicast, Unknown, , 0
155, MIX, Active, IPv4, Unicast, Unknown, , 12
156, MIXP, Active, IPv4, Unicast, Available, 196.223.0.0/24, 10
157, MIX, Active, IPv4, , Unknown, , 6
158, MOZIX, Active, IPv4, Unicast, Unknown, 192.168.10.0/24, 17
159, NPIX, Active, IPv4, Unicast, Available, 198.32.231.0/24, 31
160, AMS-IX, Unknown, IPv4, , Unknown, 195.69.144.0/24, 0
160, AMS-IX, Unknown, IPv4, , Unknown, 195.69.145.0/24, 0
160, AMS-IX, Deprecated, IPv4, Unicast, Available, 195.69.144.0/22, 0
160, AMS-IX, Deprecated, IPv4, , Unknown, 193.148.15.0/24, 170
160, AMS-IX, Active, IPv4, Both, Available, 80.249.208.0/21, 783
161, , Unknown, IPv4, Unicast, Unknown, , 0
162, NDIX, Active, IPv4, Unicast, Unknown, 193.108.98.0/24, 21
163, GN-IX, Active, IPv4, , Unknown, 193.111.172.0/24, 51
164, APE, Active, IPv4, Unicast, Unknown, 192.203.154.0/24, 92
165, CHIX, Active, IPv4, Unicast, Available, 218.100.24.0/24, 12
166, DPE, Defunct, IPv4, Unicast, Available, 218.100.23.0/24, 3
167, SIX, Planned, IPv4, Unicast, Unknown, 218.100.25.0/24, 0
168, PNIX, Active, IPv4, Unicast, Unknown, 218.100.21.0/24, 4
170, 3CIX, Defunct, IPv4, Unicast, Available, 218.100.26.0/24, 4
171, WIX, Active, IPv4, Unicast, Available, 202.7.0.0/23, 90
172, NicIX, Active, IPv4, Unicast, Unknown, , 10
173, IBIX, Defunct, IPv4, Unicast, Unknown, 198.32.151.0/24, 2
174, NIX1, Active, IPv4, Unicast, Unknown, 193.156.90.0/24, 61
174, NIX1, Deprecated, IPv4, , Unknown, 193.156.120.0/24, 21
175, PNAP, Defunct, IPv4, , Unknown, , 0
176, Intered Panamá, Active, IPv4, Unicast, Unknown, 200.46.153.8/30, 10
177, PanAmNAP, Defunct, IPv4, , Unknown, 198.32.210.0/24, 0
179, NAP-PY, Active, IPv4, Unicast, Unknown, , 15
180, NAP Lima, Defunct, IPv4, , Unknown, , 0
181, NAP Perú, Active, IPv4, Unicast, Unknown, 206.223.130.0/24, 14
182, CORE, Defunct, IPv4, Unicast, Unknown, , 6
183, MIX, Not an exchange, IPv4, Unicast, None, 202.0.91.0/24, 14
184, PHIX, Not an exchange, IPv4, Unicast, None, , 8
185, WIX, Active, IPv4, , Unknown, 195.85.195.0/24, 42
186, GIGA-PIX, Active, IPv4, Unicast, Unknown, 193.136.250.0/24, 22
187, GIGA-PIX, Planned, IPv4, Unicast, Unknown, , 0
188, BUHIX, Defunct, IPv4, , Unknown, , 17
189, RoNIX, Active, IPv4, Unicast, Unknown, 217.156.113.0/24, 33
190, MSK-IX Ekaterinburg, Active, IPv4, Unicast, Unknown, 194.85.107.0/24, 40
191, MSK-IX Moscow, Active, IPv4, Unicast, Unknown, 193.232.244.0/24, 397
192, MSK-IX Novosibirsk, Active, IPv4, Unicast, Unknown, 193.232.87.0/24, 48
193, MSK-IX Samara, Active, IPv4, Unicast, None, 193.232.135.0/24, 19
194, NW-IX, Defunct, IPv4, Unicast, Unknown, , 5
195, MSK-IX St. Petersburg, Active, IPv4, Unicast, Unknown, 194.85.177.0/24, 84
196, STC-INOC, Not an exchange, IPv4, Unicast, Unknown, , 0
198, ScotIX, Defunct, IPv4, Unicast, Unknown, 213.148.192.0/24, 0
199, WorldIX, Defunct, IPv4, Unicast, Unknown, , 4
201, 1-Net, Not an exchange, IPv4, Unicast, Unknown, , 0
202, SOX, Active, IPv4, Unicast, Unknown, 198.32.141.0/24, 27
203, STIX, Not an exchange, IPv4, Unicast, Unknown, , 0
204, SIX Bratislava, Active, IPv4, Unicast, Available, 192.108.148.0/24, 56
204, SIX Bratislava, Defunct, IPv4, Unicast, Unknown, , 0
205, SIX, Active, IPv4, Unicast, Unknown, 193.2.141.0/24, 27
206, CINX, Active, IPv4, Unicast, Unknown, 196.223.22.0/24, 180
207, Hub, Defunct, IPv4, Unicast, Unknown, , 5
208, GINX, Defunct, IPv4, Unicast, Unknown, 192.42.99.128/25, 6
209, JINX, Deprecated, IPv4, Unicast, Unknown, 198.32.142.0/24, 57
209, JINX, Active, IPv4, Unicast, Available, 196.223.14.0/24, 65
211, CATNIX, Active, IPv4, Unicast, Unknown, 213.234.0.0/25, 26
212, EuskoNIX, Active, IPv4, Unicast, Unknown, , 7
213, ESPANIX, Active, IPv4, Unicast, Unknown, 193.149.0.0/23, 45
214, MAD-IX, Unknown, IPv4, Unicast, Unknown, 195.245.196.0/24, 9
215, Terremark NAP Madrid, Active, IPv4, Unicast, None, 193.227.132.0/24, 2
216, ESPANIX, Deprecated, IPv4, Unicast, Unknown, 193.149.0.0/23, 0
217, GalNIX, Unknown, IPv4, Unicast, Unknown, 192.168.169.0/24, 0
217, GalNIX, Defunct, IPv4, Unicast, Unknown, 192.168.170.0/24, 6
218, , Not an exchange, IPv4, Unicast, Unknown, , 0
219, SLIX, Active, IPv4, Unicast, Unknown, , 20
220, SZIXP, Planned, IPv4, Unicast, Unknown, 198.32.174.0/24, 3
220, SZIXP, Deprecated, IPv4, , Unknown, 198.180.153.0/24, 3
222, Netnod Gothenburg, Active, IPv4, Unicast, Unknown, 194.68.130.0/24, 11
222, Netnod Gothenburg, Deprecated, IPv4, Unicast, Unknown, 194.68.135.0/24, 7
222, Netnod Gothenburg, Deprecated, IPv4, Unicast, Unknown, 194.68.130.0/24, 7
223, , Planned, IPv4, Unicast, Unknown, , 2
224, PolarIX, Unknown, IPv4, Unicast, Unknown, , 0
225, Netnod Luleå, Active, IPv4, Unicast, Unknown, , 6
226, Netnod Malmö, Defunct, IPv4, Unicast, Unknown, 194.68.131.0/24, 0
226, Netnod Malmö, Defunct, IPv4, Unicast, Unknown, 194.68.131.0/24, 19
227, Netnod, Active, IPv4, Unicast, Unknown, 195.69.119.0/24, 0
227, Netnod, Active, IPv4, Unicast, Unknown, 195.245.240.0/24, 0
227, Netnod, Active, IPv4, Unicast, Unknown, 194.68.123.0/24, 175
227, Netnod, Active, IPv4, Unicast, Unknown, 194.68.128.0/24, 41
227, Netnod, Deprecated, IPv4, Unicast, Unknown, 194.68.132.0/24, 25
228, SOLIX, Active, IPv4, Unicast, Unknown, 193.110.12.0/23, 58
229, Netnod Sundsvall, Active, IPv4, Unicast, Unknown, 194.68.133.0/24, 13
230, NorrNod, Active, IPv4, Unicast, Unknown, , 7
231, CIXP, Active, IPv4, Unicast, Unknown, 192.65.185.0/24, 44
232, MAE-Zurich, Defunct, IPv4, , Unknown, 198.32.208.0/24, 0
234, SwissIX, Active, IPv4, Unicast, Unknown, 91.206.52.0/23, 182
234, SwissIX, Unknown, IPv4, , Unknown, 194.242.34.0/24, 0
235, Telehouse Zurich, Unknown, IPv4, , Unknown, , 0
236, Equinix Zurich, Active, IPv4, , Unknown, 194.42.48.0/24, 65
237, TPIX, Active, IPv4, Unicast, Available, 203.163.222.0/24, 22
238, TWIX, Active, IPv4, Unicast, Unknown, 210.62.255.0/24, 39
239, TWNAP, Active, IPv4, , Unknown, , 16
240, TaiwanEP, Unknown, IPv4, , Unknown, 198.32.222.0/24, 0
242, TIX, Active, IPv4, Unicast, Available, 196.223.5.0/25, 30
243, TAIX, Defunct, IPv4, , Unknown, 198.32.213.0/24, 0
244, CAT-THIX, Active, IPv4, Unicast, Unknown, , 20
245, NECTEC-IIR, Not an exchange, IPv4, Unicast, Unknown, , 0
247, TIX, Defunct, IPv4, , Unknown, , 0
248, UIXP, Deprecated, IPv4, , Unknown, 194.153.153.0/25, 8
248, UIXP, Active, IPv4, Unicast, Available, 196.223.25.0/24, 8
249, UA-IX, Active, IPv4, Unicast, Unknown, 195.35.65.0/24, 186
250, UTC-IX, Not an exchange, IPv4, Unicast, Unknown, 195.5.49.0/24, 0
251, EMIX, Not an exchange, IPv4, Unicast, Unknown, , 0
252, GulfX, Planned, IPv4, Unicast, Unknown, , 0
253, IXNM, Unknown, IPv4, Unicast, Available, 208.50.192.0/24, 18
255, Equinix Ashburn, Active, IPv4, , Available, 206.223.115.0/24, 72
255, Equinix Ashburn, Deprecated, IPv4, Unicast, Unknown, 206.223.137.0/24, 0
255, Equinix Ashburn, Active, IPv4, Unicast, Available, 206.126.236.0/22, 224
256, AtlantaIX, Active, IPv4, Unicast, None, 198.32.132.0/24, 121
258, MAE-Central, Defunct, IPv4, Unicast, Unknown, 198.32.139.0/24, 0
259, Equinix-Atlanta, Active, IPv4, Unicast, Unknown, 198.32.181.0/24, 0
259, Equinix-Atlanta, Active, IPv4, Unicast, Unknown, 198.32.182.0/24, 0
259, Equinix-Atlanta, Active, IPv4, Multicast, Unknown, 198.32.183.0/24, 0
260, AUSIX, Defunct, IPv4, Unicast, Unknown, 198.32.196.0/24, 0
260, AUSIX, Defunct, IPv4, Unicast, Unknown, 198.32.197.0/24, 0
261, AMAP, Defunct, IPv4, Unicast, Unknown, 198.32.174.0/24, 0
262, BNAP, Unknown, IPv4, Unicast, Unknown, 198.32.188.0/24, 0
264, Calren2 North, Unknown, IPv4, , Unknown, 198.32.249.0/24, 0
265, BMXP, Defunct, IPv4, Unicast, Unknown, 198.32.178.0/24, 18
266, Equinix-Boston, Active, IPv4, Unicast, Unknown, 198.32.111.0/24, 0
266, Equinix-Boston, Active, IPv4, Unicast, Unknown, 198.32.112.0/24, 0
266, Equinix-Boston, Active, IPv4, Multicast, Unknown, 198.32.113.0/24, 0
267, AADS NAP, Unknown, IPv4, Unicast, Unknown, 198.32.130.0/24, 0
267, AADS NAP, Unknown, IPv4, Unicast, Unknown, 206.220.242.0/24, 0
267, AADS NAP, Deprecated, IPv4, , Unknown, 206.220.240.0/24, 0
267, AADS NAP, Unknown, IPv4, Unicast, Unknown, 206.220.243.0/24, 0
267, AADS NAP, Deprecated, IPv4, , Unknown, 206.220.241.0/24, 0
268, Equinix Chicago IBX, Deprecated, IPv4, Unicast, Unknown, 206.223.138.0/24, 0
268, Equinix Chicago IBX, Active, IPv4, Unicast, Unknown, 206.223.119.0/24, 36
269, MAE-Chicago, Defunct, IPv4, Unicast, Unknown, 198.32.140.0/24, 0
270, PacBell ATM Exchange, Defunct, IPv4, Unicast, Unknown, 206.223.120.0/24, 0
270, PacBell ATM Exchange, Defunct, IPv4, Unicast, Unknown, 206.223.121.0/24, 0
270, PacBell ATM Exchange, Defunct, IPv4, Unicast, Unknown, 206.223.122.0/24, 0
271, STAR TAP, Active, IPv4, , Unknown, 206.220.240.0/24, 31
272, StarLight, Active, IPv4, , Unknown, 206.220.241.0/24, 34
273, VermontIX, Defunct, IPv4, Unicast, Unknown, 198.32.244.0/24, 0
274, CMH-IX, Defunct, IPv4, Unicast, Unknown, , 0
275, CIX, Unknown, IPv4, Unicast, Unknown, , 0
277, DFW-MAP, Unknown, IPv4, Unicast, Unknown, 198.32.226.0/24, 0
278, Equinix IBX Dallas, Active, IPv4, , Unknown, 206.223.118.0/24, 0
279, Excel Telecom NAP, Unknown, IPv4, , Unknown, 206.223.103.0/24, 0
279, Excel Telecom NAP, Unknown, IPv4, , Unknown, 206.223.114.0/24, 0
280, MAE Central, Defunct, IPv4, Unicast, Unknown, , 0
281, MAE-Dallas, Defunct, IPv4, Unicast, Unknown, 198.32.139.0/24, 0
282, Equinix-Dallas, Active, IPv4, , Unknown, 198.32.114.0/24, 0
282, Equinix-Dallas, Active, IPv4, , Unknown, 198.32.116.0/24, 0
282, Equinix-Dallas, Active, IPv4, , Unknown, 198.32.115.0/24, 0
282, Equinix-Dallas, Active, IPv4, , Unknown, 206.223.125.0/24, 0
283, DIX, Defunct, IPv4, Unicast, Unknown, , 0
284, MAX, Defunct, IPv4, Unicast, Unknown, 198.32.216.0/24, 0
284, MAX, Defunct, IPv4, Multicast, Unknown, 198.32.217.0/24, 0
285, Equinix-Denver, Planned, IPv4, Multicast, Unknown, 198.32.102.0/24, 0
